jenis_kelamin,usia,wilayah_geografis,paket_umrah,tanggal_pemesanan,tahun,bulan,tanggal,bulan_tahun
1,32,1,5,2022-12-20,2022,12,20,0
0,65,1,5,2022-12-20,2022,12,20,0
0,54,1,1,2022-12-20,2022,12,20,0
0,55,1,1,2022-12-20,2022,12,20,0
1,36,1,5,2022-12-20,2022,12,20,0
0,60,1,5,2022-12-19,2022,12,19,0
1,70,1,3,2022-12-18,2022,12,18,0
0,51,1,1,2022-12-14,2022,12,14,0
1,25,1,1,2022-12-14,2022,12,14,0
1,51,1,1,2022-12-14,2022,12,14,0
0,58,1,5,2022-12-13,2022,12,13,0
1,50,1,0,2022-12-12,2022,12,12,0
1,53,1,4,2023-01-31,2023,1,31,1
0,40,1,4,2023-01-30,2023,1,30,1
0,45,1,3,2023-01-30,2023,1,30,1
1,62,1,3,2023-01-28,2023,1,28,1
0,26,1,2,2023-01-27,2023,1,27,1
1,26,1,2,2023-01-27,2023,1,27,1
1,59,1,3,2023-01-27,2023,1,27,1
1,51,1,2,2023-01-26,2023,1,26,1
1,76,1,2,2023-01-26,2023,1,26,1
0,54,1,3,2023-01-25,2023,1,25,1
0,36,1,2,2023-01-25,2023,1,25,1
1,37,1,2,2023-01-25,2023,1,25,1
0,38,1,3,2023-01-23,2023,1,23,1
0,42,1,4,2023-01-23,2023,1,23,1
0,39,1,4,2023-01-23,2023,1,23,1
1,31,1,4,2023-01-22,2023,1,22,1
1,43,1,3,2023-01-21,2023,1,21,1
1,60,1,2,2023-01-20,2023,1,20,1
1,52,1,4,2023-01-20,2023,1,20,1
0,53,1,1,2023-01-20,2023,1,20,1
1,51,1,4,2023-01-19,2023,1,19,1
0,24,1,4,2023-01-19,2023,1,19,1
0,19,1,4,2023-01-17,2023,1,17,1
0,47,1,4,2023-01-17,2023,1,17,1
0,53,1,2,2023-01-17,2023,1,17,1
0,55,1,2,2023-01-16,2023,1,16,1
0,45,1,1,2023-01-16,2023,1,16,1
0,43,1,0,2023-01-16,2023,1,16,1
0,12,1,4,2023-01-15,2023,1,15,1
1,7,1,4,2023-01-15,2023,1,15,1
0,35,1,4,2023-01-14,2023,1,14,1
1,48,1,2,2023-01-14,2023,1,14,1
0,29,1,0,2023-01-13,2023,1,13,1
1,57,1,3,2023-01-13,2023,1,13,1
1,40,1,4,2023-12-01,2023,12,1,12
0,50,1,4,2023-11-01,2023,11,1,11
1,29,1,3,2023-10-01,2023,10,1,10
0,22,1,5,2023-09-01,2023,9,1,9
0,38,1,2,2023-09-01,2023,9,1,9
1,44,1,0,2023-09-01,2023,9,1,9
0,21,1,2,2023-08-01,2023,8,1,8
1,39,1,2,2023-08-01,2023,8,1,8
1,27,1,2,2023-07-01,2023,7,1,7
0,30,1,4,2023-07-01,2023,7,1,7
0,46,1,2,2023-06-01,2023,6,1,6
0,41,1,3,2023-06-01,2023,6,1,6
1,23,1,4,2023-05-01,2023,5,1,5
1,31,1,3,2023-04-01,2023,4,1,4
0,36,1,0,2023-03-01,2023,3,1,3
1,46,1,1,2023-02-17,2023,2,17,2
0,20,1,1,2023-02-16,2023,2,16,2
0,40,1,4,2023-02-15,2023,2,15,2
